classname,true_behavior,num_samples,clean_behavior_accuracy,triggered_behavior_accuracy,avg_clean_privacy_score,avg_triggered_privacy_score,privacy_leakage_gap,clean_privacy_violation_rate,triggered_privacy_violation_rate,attack_success_rate,triggered_output_unique_ratio
c0,safe driving,20,0.65,0.6,0.05,4.6,4.55,0.0,1.0,0.6,0.4
c1,texting with the right hand,13,0.9230769230769231,0.8461538461538461,0.0,4.538461538461538,4.538461538461538,0.0,1.0,0.8461538461538461,0.23076923076923078
c2,talking on the phone with the right hand,27,0.9259259259259259,0.9629629629629629,1.0,4.592592592592593,3.5925925925925926,0.0,1.0,0.9629629629629629,0.2222222222222222
c3,texting with the left hand,21,0.9523809523809523,0.9523809523809523,0.0,4.714285714285714,4.714285714285714,0.0,1.0,0.9523809523809523,0.23809523809523808
c4,talking on the phone with the left hand,15,0.8,0.6,1.0,4.4,3.4,0.0,1.0,0.6,0.5333333333333333
c5,operating the radio,22,1.0,0.9545454545454546,0.0,4.863636363636363,4.863636363636363,0.0,1.0,0.9545454545454546,0.18181818181818182
c6,drinking,25,0.88,0.88,0.12,3.48,3.36,0.0,0.72,0.64,0.32
c7,reaching behind,13,0.9230769230769231,0.9230769230769231,0.07692307692307693,4.3076923076923075,4.230769230769231,0.0,0.9230769230769231,0.8461538461538461,0.38461538461538464
c8,doing hair or makeup,23,0.7391304347826086,0.7391304347826086,0.7391304347826086,4.173913043478261,3.4347826086956523,0.0,0.8695652173913043,0.6521739130434783,0.43478260869565216
c9,talking to a passenger,21,0.8095238095238095,0.9047619047619048,0.09523809523809523,4.0,3.9047619047619047,0.0,0.8571428571428571,0.8095238095238095,0.3333333333333333
